"ANIO","PERIODO","TIPO_HECHO","GENERO","ESTADO_CIVIL","FECHA_NACIMIENTO","PAIS","CIUDAD_NACIMIENTO","CIUDAD_RECIDENCIA","DEPARTEMENTO_COLEGIO","MUNICIPIO_COLEGIO","COLEGIO","NATURALEZA_COLEGIO","SNIES","PROGRAMA","FACULTAD","MODALIDAD","METODOLOGIA","SEDE"
"2,021","1","ADMITIDOS","MASCULINO","SOLTERO","09/13/2002 12:00:00 AM","COLOMBIA","VILLAVICENCIO","VILLAVICENCIO","META","VILLAVICENCIO","INEM LUIS LOPEZ DE MESA","OFICIAL","13,049","ADMINISTRACION DE EMPRESAS","CIENCIAS ECONÓMICAS","PREGRADO","PRESENCIAL DIURNO","Villavicencio - SAN ANTONIO / Granada - BOQUEMONTE"
"2,021","1","ADMITIDOS","MASCULINO","SOLTERO","04/29/2002 12:00:00 AM","COLOMBIA","ACACÍAS","ACACÍAS","META","ACACÍAS","IE JUAN ROZO","OFICIAL","13,049","ADMINISTRACION DE EMPRESAS","CIENCIAS ECONÓMICAS","PREGRADO","PRESENCIAL DIURNO","Villavicencio - SAN ANTONIO / Granada - BOQUEMONTE"
"2,021","1","ADMITIDOS","MASCULINO","SOLTERO","09/10/2004 12:00:00 AM","COLOMBIA","VILLAVICENCIO","ACACÍAS","META","ACACÍAS","IE JUAN ROZO","OFICIAL","13,049","ADMINISTRACION DE EMPRESAS","CIENCIAS ECONÓMICAS","PREGRADO","PRESENCIAL DIURNO","Villavicencio - SAN ANTONIO / Granada - BOQUEMONTE"
"2,021","1","ADMITIDOS","MASCULINO","UNION LIBRE","01/21/1996 12:00:00 AM","COLOMBIA","CHARALÁ","VILLAVICENCIO","META","VILLAVICENCIO","POLITECNICO AGROINDUSTRIAL","OFICIAL","13,049","ADMINISTRACION DE EMPRESAS","CIENCIAS ECONÓMICAS","PREGRADO","PRESENCIAL DIURNO","Villavicencio - SAN ANTONIO / Granada - BOQUEMONTE"
"2,021","1","ADMITIDOS","FEMENINO","SOLTERO","01/12/2003 12:00:00 AM","COLOMBIA","EL CASTILLO","EL CASTILLO","META","EL CASTILLO","INSTITUCION EDUCATIVA OVIDIO DECROLY","OFICIAL","13,049","ADMINISTRACION DE EMPRESAS","CIENCIAS ECONÓMICAS","PREGRADO","PRESENCIAL DIURNO","Villavicencio - SAN ANTONIO / Granada - BOQUEMONTE"
"2,021","1","ADMITIDOS","FEMENINO","UNION LIBRE","12/03/2001 12:00:00 AM","COLOMBIA","GRANADA","GRANADA","META","GRANADA","INSTITUCION EDUCATIVA GENERAL SANTANDER","OFICIAL","13,049","ADMINISTRACION DE EMPRESAS","CIENCIAS ECONÓMICAS","PREGRADO","PRESENCIAL DIURNO","Villavicencio - SAN ANTONIO / Granada - BOQUEMONTE"
"2,021","1","ADMITIDOS","FEMENINO","SOLTERO","10/14/2000 12:00:00 AM","COLOMBIA","BOGOTÁ D.C.","GRANADA","META","PUERTO LÓPEZ","INSTITUCION EDUCATIVA COLEGIO MPAL CAPITAN MIGUEL LARA","OFICIAL","13,049","ADMINISTRACION DE EMPRESAS","CIENCIAS ECONÓMICAS","PREGRADO","PRESENCIAL DIURNO","Villavicencio - SAN ANTONIO / Granada - BOQUEMONTE"
"2,021","1","ADMITIDOS","FEMENINO","SOLTERO","05/22/2002 12:00:00 AM","COLOMBIA","IBAGUÉ","VILLAVICENCIO","HUILA","PITALITO","NORMAL SUPERIOR DE PITALITO HUILA","OFICIAL","13,049","ADMINISTRACION DE EMPRESAS","CIENCIAS ECONÓMICAS","PREGRADO","PRESENCIAL DIURNO","Villavicencio - SAN ANTONIO / Granada - BOQUEMONTE"
"2,021","1","ADMITIDOS","MASCULINO","SOLTERO","09/18/1997 12:00:00 AM","COLOMBIA","VISTA HERMOSA","VISTA HERMOSA","META","VISTA HERMOSA","INSTITUCION EDUCATIVA PEDRO NEL JIMENEZ OBANDO","OFICIAL","13,049","ADMINISTRACION DE EMPRESAS","CIENCIAS ECONÓMICAS","PREGRADO","PRESENCIAL DIURNO","Villavicencio - SAN ANTONIO / Granada - BOQUEMONTE"
"2,021","1","ADMITIDOS","MASCULINO","SOLTERO","04/22/1998 12:00:00 AM","COLOMBIA","VILLAVICENCIO","VILLAVICENCIO","META","VILLAVICENCIO","COLEGIO JUAN B. CABALLERO MEDINA","OFICIAL","13,049","ADMINISTRACION DE EMPRESAS","CIENCIAS ECONÓMICAS","PREGRADO","PRESENCIAL DIURNO","Villavicencio - SAN ANTONIO / Granada - BOQUEMONTE"
"2,021","1","ADMITIDOS","MASCULINO","SOLTERO","10/17/2000 12:00:00 AM","COLOMBIA","GRANADA","GRANADA","META","GRANADA","INST EDUC COLEGIO DEPTAL LUIS CARLOS GALAN SARMIENTO","OFICIAL","13,049","ADMINISTRACION DE EMPRESAS","CIENCIAS ECONÓMICAS","PREGRADO","PRESENCIAL DIURNO","Villavicencio - SAN ANTONIO / Granada - BOQUEMONTE"
"2,021","1","ADMITIDOS","FEMENINO","SEPARADO","05/01/1989 12:00:00 AM","COLOMBIA","VILLAVICENCIO","VILLAVICENCIO","META","VILLAVICENCIO","COLEGIO GENERAL CARLOSNALBACARLOS ALBAN","OFICIAL","13,049","ADMINISTRACION DE EMPRESAS","CIENCIAS ECONÓMICAS","PREGRADO","PRESENCIAL DIURNO","Villavicencio - SAN ANTONIO / Granada - BOQUEMONTE"
"2,021","1","ADMITIDOS","FEMENINO","SOLTERO","03/07/2004 12:00:00 AM","COLOMBIA","VILLAVICENCIO","ACACÍAS","META","ACACÍAS","COL SANTO DOMINGO SAVIO","NO OFICIAL","13,049","ADMINISTRACION DE EMPRESAS","CIENCIAS ECONÓMICAS","PREGRADO","PRESENCIAL DIURNO","Villavicencio - SAN ANTONIO / Granada - BOQUEMONTE"
"2,021","1","ADMITIDOS","MASCULINO","SOLTERO","02/14/2002 12:00:00 AM","COLOMBIA","VILLAVICENCIO","VILLAVICENCIO","META","VILLAVICENCIO","COLEGIO ABRAHAM LINCOLN","OFICIAL","13,049","ADMINISTRACION DE EMPRESAS","CIENCIAS ECONÓMICAS","PREGRADO","PRESENCIAL DIURNO","Villavicencio - SAN ANTONIO / Granada - BOQUEMONTE"
"2,021","1","ADMITIDOS","MASCULINO","SOLTERO","10/30/2001 12:00:00 AM","COLOMBIA","GRANADA","VILLAVICENCIO","META","VILLAVICENCIO","FRANCISCO ARANGO","OFICIAL","13,049","ADMINISTRACION DE EMPRESAS","CIENCIAS ECONÓMICAS","PREGRADO","PRESENCIAL DIURNO","Villavicencio - SAN ANTONIO / Granada - BOQUEMONTE"
"2,021","1","ADMITIDOS","MASCULINO","SOLTERO","09/20/2002 12:00:00 AM","COLOMBIA","GRANADA","VILLAVICENCIO","META","VILLAVICENCIO","IE INST TEC INDUSTRIAL","OFICIAL","13,049","ADMINISTRACION DE EMPRESAS","CIENCIAS ECONÓMICAS","PREGRADO","PRESENCIAL DIURNO","Villavicencio - SAN ANTONIO / Granada - BOQUEMONTE"
"2,021","1","ADMITIDOS","MASCULINO","SOLTERO","02/15/1999 12:00:00 AM","COLOMBIA","VILLAVICENCIO","VILLAVICENCIO","META","VILLAVICENCIO","LICEO LOS LANCEROS","NO OFICIAL","13,049","ADMINISTRACION DE EMPRESAS","CIENCIAS ECONÓMICAS","PREGRADO","PRESENCIAL DIURNO","Villavicencio - SAN ANTONIO / Granada - BOQUEMONTE"
"2,021","1","ADMITIDOS","FEMENINO","SOLTERO","05/28/2003 12:00:00 AM","COLOMBIA","VILLAVICENCIO","VILLAVICENCIO","META","VILLAVICENCIO","INSTITUCION EDUCATIVA COLEGIO JHON F. KENNEDY","OFICIAL","13,049","ADMINISTRACION DE EMPRESAS","CIENCIAS ECONÓMICAS","PREGRADO","PRESENCIAL DIURNO","Villavicencio - SAN ANTONIO / Granada - BOQUEMONTE"
"2,021","1","ADMITIDOS","FEMENINO","SOLTERO","08/28/2003 12:00:00 AM","COLOMBIA","VILLAVICENCIO","VILLAVICENCIO","META","VILLAVICENCIO","COLEGIO COOPERATIVO ANTONIO VILLAVICENCIO","NO OFICIAL","13,049","ADMINISTRACION DE EMPRESAS","CIENCIAS ECONÓMICAS","PREGRADO","PRESENCIAL DIURNO","Villavicencio - SAN ANTONIO / Granada - BOQUEMONTE"
"2,021","1","ADMITIDOS","FEMENINO","SOLTERO","05/19/2004 12:00:00 AM","COLOMBIA","VILLANUEVA","VILLAVICENCIO","CASANARE","VILLANUEVA","COLEGIO FAVIO RIVEROS","OFICIAL","13,049","ADMINISTRACION DE EMPRESAS","CIENCIAS ECONÓMICAS","PREGRADO","PRESENCIAL DIURNO","Villavicencio - SAN ANTONIO / Granada - BOQUEMONTE"
"2,021","1","ADMITIDOS","FEMENINO","SOLTERO","03/20/2002 12:00:00 AM","COLOMBIA","GRANADA","GRANADA","META","GRANADA","CENTRO EDUCATIVO VALENTIN GARCIA","OFICIAL","13,049","ADMINISTRACION DE EMPRESAS","CIENCIAS ECONÓMICAS","PREGRADO","PRESENCIAL DIURNO","Villavicencio - SAN ANTONIO / Granada - BOQUEMONTE"
"2,021","1","ADMITIDOS","FEMENINO","SOLTERO","08/19/1999 12:00:00 AM","COLOMBIA","GRANADA","GRANADA","META","VILLAVICENCIO","LIC MAYOR DE VILLAVICENCIO JAIME TRIANA RESTREPO","NO OFICIAL","13,049","ADMINISTRACION DE EMPRESAS","CIENCIAS ECONÓMICAS","PREGRADO","PRESENCIAL DIURNO","Villavicencio - SAN ANTONIO / Granada - BOQUEMONTE"
"2,021","1","ADMITIDOS","FEMENINO","SOLTERO","10/13/2001 12:00:00 AM","COLOMBIA","GRANADA","GRANADA","ATLÁNTICO","SOLEDAD","INSTITUTO LUIS SANCHEZ PORTO","NO OFICIAL","13,049","ADMINISTRACION DE EMPRESAS","CIENCIAS ECONÓMICAS","PREGRADO","PRESENCIAL DIURNO","Villavicencio - SAN ANTONIO / Granada - BOQUEMONTE"
"2,021","1","ADMITIDOS","MASCULINO","SOLTERO","09/23/2002 12:00:00 AM","COLOMBIA","VILLAVICENCIO","ACACÍAS","META","ACACÍAS","COL VEINTE DE JULIO","OFICIAL","13,049","ADMINISTRACION DE EMPRESAS","CIENCIAS ECONÓMICAS","PREGRADO","PRESENCIAL DIURNO","Villavicencio - SAN ANTONIO / Granada - BOQUEMONTE"
"2,021","1","ADMITIDOS","FEMENINO","SOLTERO","10/25/2001 12:00:00 AM","COLOMBIA","VILLAVICENCIO","VILLAVICENCIO","META","VILLAVICENCIO","INEM LUIS LOPEZ DE MESA","OFICIAL","13,049","ADMINISTRACION DE EMPRESAS","CIENCIAS ECONÓMICAS","PREGRADO","PRESENCIAL DIURNO","Villavicencio - SAN ANTONIO / Granada - BOQUEMONTE"
